council_name|year|source_document|page_number|resolution_text|source_url
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|14|approved. the developers|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|14|December, 2021 be adopted. General and|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|approved as presented|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|engineered land fill be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|classroom be approved while a determine the cost|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|applicants above be approved as applicants.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|recommended by the Sub- Applicants with|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|applicants above be approved. applicants.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|15|against their names be approved as Applicants with|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|16|records be approved as presented records cancelled)|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|16|13. PIEIREC/37/07/23 The item matter be approved as Actioned|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|16|Mumbwa be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|16|Limited be approved as presented|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|16|Ntembelwa be approved.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|16|vendors be approved except for|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|17|APPROVED as presented|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|17|Commercial use BE APPROVED.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|17|intended use be approved.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|17|above applicants be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|17|District be approved as presented|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|17|next to plot 192 be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|18|approved as presented.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|18|Density Area be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|19|approved while the construction of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|21|business year be Approved. publicised|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|21|to 31st March, 2023 be Approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|21|2019 and 2020 be approved.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|21|needed positions be Approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|22|Approved as presented with an|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|7|they were hopeful that the issues would be resolved quickly by|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|10|and 15th June, 2023 be Received and Adopted as part of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|12|2023 and 23rd June, 2023 be Received and Adopted as part of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|12|Adopted as part of the proceedings of the Council subject to|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|12|On page 135, under the last resolution, included another|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|12|resolution to read “and that the areas planned for leasing|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|12|On page 137, in the resolution, added another resolution to|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|13|resolution, corrected the resolution to read “the item be|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|13|1. The resolution passed by the Council at its last sitting|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|13|April, 2023 and 30th June, 2023 be Received and Adopted as part|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|14|3rd April, 2023 and 30th June, 2023 be Received and Adopted as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|15|2023 be Received and Adopted as part of the proceedings of the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of the Ordinary Council Meeting held on Friday, 28th July, 2023|15|3. On page 213, under the resolution, inserted the year|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-the-Ordinary-Council-Meeting-held-on-Friday-28th-July-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|3|The August House do resolved into a Committee|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|3|the Council had adopted the appointment of the Valuation|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|3|Rural Development had approved the appointment of Mrs|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|5|recommended different poundage rates against the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|8|The Council Management recommended that the poundage|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|9|Once the proposed poundage rate was adopted, the 2024|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|11|RESOLVED TO RECOMMEND THAT;|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|11|(K20, 032,707.10)) be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|12|RESOLVED to recommend that:|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|12|be approved as presented.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|13|adopted as presented|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council Meeting held on 30th August, 2023|13|be adopted as presented.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/minutes-of-Special-Council-Meeting-held-on-30th-August-2023.pdf
Mumbwa Town Council|2023|Minutes of Special Council meeting held on 16th May, 2023|4|year ended 31st December, 2021 be adopted.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Minutes-of-Special-Council-meeting-held-on-16th-May-2023.pdf
Mumbwa Town Council|2024|MINUTES OF THE FIRST ORDINARY COUNCIL MEETING, 2024/2025, MUMBWA CIVIC CENTRE|8|the issues would be resolved quickly by relevont|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-THIRD-ORDINARY-COUNCIL-MEEETING-FOR-THE-20242025-CIVIC.pdf
Mumbwa Town Council|2024|MINUTES OF THE FIRST ORDINARY COUNCIL MEETING, 2024/2025, MUMBWA CIVIC CENTRE|9|"""ofter o lengthy debqte, resolved lhqt"|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-THIRD-ORDINARY-COUNCIL-MEEETING-FOR-THE-20242025-CIVIC.pdf
Mumbwa Town Council|2024|MINUTES OF THE FIRST ORDINARY COUNCIL MEETING, 2024/2025, MUMBWA CIVIC CENTRE|9|b. qnd the sqme resolution v. in lhe Action|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-THIRD-ORDINARY-COUNCIL-MEEETING-FOR-THE-20242025-CIVIC.pdf
Mumbwa Town Council|2024|MINUTES OF THE FIRST ORDINARY COUNCIL MEETING, 2024/2025, MUMBWA CIVIC CENTRE|11|eorlier decision wos rescinded by|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-THIRD-ORDINARY-COUNCIL-MEEETING-FOR-THE-20242025-CIVIC.pdf
Mumbwa Town Council|2024|MINUTES OF THE FIRST ORDINARY COUNCIL MEETING, 2024/2025, MUMBWA CIVIC CENTRE|16|ony decision mode towords ihe some would need to be|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-THIRD-ORDINARY-COUNCIL-MEEETING-FOR-THE-20242025-CIVIC.pdf
Mumbwa Town Council|2023|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|5|PLOT MUM10192, councillor stoted thot decision of the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-FOURTH-ORDINARY-COUNCIL-MEETING-FOR-20232024-CIVIC-YEAR.pdf
Mumbwa Town Council|2023|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|6|the proposol ond seconded to chonge the resolution of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-FOURTH-ORDINARY-COUNCIL-MEETING-FOR-20232024-CIVIC-YEAR.pdf
Mumbwa Town Council|2023|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|6|reservotion from the decision of the Council.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-FOURTH-ORDINARY-COUNCIL-MEETING-FOR-20232024-CIVIC-YEAR.pdf
Mumbwa Town Council|2023|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|9|Management recommended that the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-FOURTH-ORDINARY-COUNCIL-MEETING-FOR-20232024-CIVIC-YEAR.pdf
Mumbwa Town Council|2023|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|10|Accordingly, management recommended that the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-FOURTH-ORDINARY-COUNCIL-MEETING-FOR-20232024-CIVIC-YEAR.pdf
Mumbwa Town Council|2023|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|10|July, 2024 where they agreed to auction alr the absorute|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-FOURTH-ORDINARY-COUNCIL-MEETING-FOR-20232024-CIVIC-YEAR.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|6|the issues would be resolved quickly by|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|7|2025 in the resolution, under Minute number|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|7|"resolution to reod ""ihe opplicotions for chonge"|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|7|obove oppliconts be recommended lo|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|8|4. Under CM/1141 0S/25, in the resolution, insert|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|8|"lhe words ""it wos"" before the word ,,resolved""."|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|12|council's resolution to continue with the oword of leose to|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|12|RESOLUTION OF THE FULI. COUNCIT INTO A COMIMITTEE OI THE|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|12|"The Cor""lncil be resolved inlo o committee of"|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|13|The Council Advocote recommended thot o|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|16|"Ministry of lqnds"" ond the resolution to"|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|19|It wos resolved whilst noting the report thot the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|20|The decision to expond the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|21|(b) recommended by fhe Principol Officer|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
