strategy|activity|input|cost_2024|cost_2025|cost_2026|cost_2027|cost_2028|proposed_source_of_funding|source_of_information
|Construction of Weirs|Human resource|0.0|0.0|760000.0|0.0|0.0|MoA, Local authority (CDF) & private sector|MoA
|Rehabilitation of Weirs|Human resource|0.0|50000.0|0.0|0.0|0.0|MoA, Local authority (CDF) & private sector|MoA
|Inventory of Irrigated land (Hectares)|Human resource|20000.0|22000.0|24200.0|26620.0|29282.0|MoA|MoA
|Train 24,600 Farmers in Climate Smart Irrigation Technologies|Human resource||24000.0|26400.0|29040.0|31944.0|K35,138|MoA
|Link 9,000 farmers to irrgation credit facilities|Human resource|46000.0|50600.0|55660.0|61226.0|67349.0|MoA & Private sector|MoA
||TOTAL|9090000.0|14549000.0|16708900.0|17543790.0|19298169.0||
Improve agricultural production and productivity|Construction of 10 plunge dip tanks with boreholes and hand pumps|Human Resource|1280000.0|1408000.0|1548800.0|1703680.0|1874048.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Construction of 1 District Laboratory|Human Resource|0.0|0.0|0.0|1000000.0|0.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Establishment and Construction of 4 Biosecurity check points|Human Resource|187500.0|206250.0|226875.0|249563.0|0.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Vaccination of 130, 000 cattle against Foot and Mouth Disease|Human Resource|400000.0|440000.0|484000.0|532400.0|585640.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Vaccination of 10, 000 Dogs against Rabies Disease|Human Resource|200000.0|220000.0|242000.0|266200.0|292820.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Construction of a new quarantine facility|Human Resource|0.0|0.0|0.0|2000000.0|0.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Rehabilitation of the existing quarantine facility|Human Resource|0.0|0.0|600000.0|0.0|0.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Foot and Mouth Disease, Contagious Bovine Pleura pneumonia and African Swine Fever Disease Surveillance|Human Resource|100000.0|110000.0|121000.0|133100.0|146410.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Mobile Patrols|Human Resource|100000.0|110000.0|121000.0|133100.0|146410.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Trypanosomi asis and Tsetse fly surveillance and target deployment|Human Resource|200000.0|220000.0|242000.0|266200.0|292820.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Formation 16 Village Mangement Committees|Human Resource|37500.0|41250.0|45375.0|49913.0|54904.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Issuance of 1000 Fishing Licenses|Human Resource|20000.0|22000.0|24200.0|26620.0|29282.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Sensitization of 500 farmers on sustainable fishing|Human Resource|40000.0|44000.0|48400.0|53240.0|58564.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Installation of 3 ice plants|Human Resource|0.0|0.0|100000.0|110000.0|121000.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|420,000 Fingerling Stocking in dams|Human Resource|84000.0|92400.0|101640.0|111804.0|122984.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Construction of 3 Fish Hatcheries|Human Resource|0.0|833333.0|0.0|1000000.0|1100000.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|construction and stocking of 21 demonstratio n fish ponds|Human Resource|342857.0|377143.0|414857.0|456343.0|501977.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Establishment and improvement of 100 rangelands and fodder banks|Human Resource|80000.0|88000.0|96800.0|106480.0|117128.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|stocking and restocking of small livestock|Human Resource|2000000.0|2200000.0|2420000.0|2662000.0|2.9282|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Establishment of 3 AI satelite centers|Human Resource|616667.0|0.0|740000.0|0.0|814000.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Establishment of a livestock service and breeding center|Human Resource|1100000.0|1210000.0|1331000.0|1464100.0|1610510.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Rehabilitation Of 6 Dams|Human Resource|3333333.0|3666667.0|4033333.0|4436667.0|4880333.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Construction of 15 Dams|Human Resource|2000000.0|2200000.0|2420000.0|2662000.0|2928200.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
||TOTAL|||15361280.0|19423409.0|18605231.0||
Improve agricultural production and productivity|Construction of 20 morden camp houses|Human Resource|3120000.0|3432000.0|3775200.0|4152720.0|4567992.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Construction of 12 office blocks|Human Resource|1360000.0|1496000.0|1645600.0|1810160.0|1991176.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Rehabilitation Of 6 Camp Houses|Human Resource|350000.0|385000.0|423500.0|465850.0|512435.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Rehabilitation of 3 office blocks|Human Resource|275000.0|0.0|330000.0|0.0|396000.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|establishment of E- extension platforms at district and camp levels to quicken disease|Human Resource|40000.0|44000.0|48400.0|53240.0|58564.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|outbreak response||||||||
|procurement of 40 motor bikes|Human Resource|960000.0|1056000.0|1161600.0|1277760.0|1405536.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|procurement of 2 motor vehicles for District operations|Human Resource|2800000.0|0.0|1400000.0|0.0|1540000.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Development and printing of 2500 Extension Training materials and teaching aids|Human Resource|100000.0|110000.0|121000.0|133100.0|146410.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Trainings in Animal Health and Livestock production to 5000 farmers|Human Resource|20000.0|22000.0|24200.0|26620.0|29282.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Demarcation and alignment of the current Veterinary camps|Human Resource|50000.0|55000.0|60500.0|66550.0|73205.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Conduct 10,000 meat inspections and 20 facility inspections|Human Resource|200000.0|220000.0|242000.0|266200.0|292820.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
||TOTAL|9275000.0|6820000.0|9232000.0|8252200.0|11013420.0||
Promote value addition and manufacturi ng|Establishment of a Bulking Centre and slaughter slab|Human Resource|350000.0|385000.0|423500.0|465850.0|512435.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Construction of Milk collection center|Human Resource|0.0|0.0|1750000.0|0.0|0.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Training of 5000 livestock farmers infisheries livestock product value addition|Human Resource|50000.0|55000.0|60500.0|66550.0|73205.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
|Establishment of a Fisheries Market|Human Resource|0.0||0.0|500000.0|0.0|Local Government (CDF)/ Ministry of Fisheries and Livestock|Local Ministry of Fisheries and Livestock
||TOTAL|400000.0|440000.0|2234000.0|1032400.0|585640.0||
To enhance improved electricity access to rural and peri urban areas|Connection to national grid|Human Resource|4800000.0|5280000.0|5808000.0|6388800.0|7027680.0|Local Authority/ZESCO|ZESCO
|Connection of residences to off grid energy|Human Resource|4400000.0|4840000.0|5324000.0|5856400.0|6442040.0|Local Authority/ZESCO|ZESCO
||TOTAL|9200000.0|10120000.0|11132000.0|12245200.0|13469720.0||
To improve Transport and Logistics|Rehabilitatio n and Maintenance of bituminous standard Township roads|Human Resource|4000000.0|4400000.0|4840000.0|5324000.0|5856400.0|Local Authority & NRFA|LA
|Construction and Upgrading of township roads to bituminous standard|Human Resource|80000000.0|88000000.0|96800000.0|106480000.0|117128000.0|Local Authority & NRFA|LA
|Rehabilitatio n and maintenance of gravel township roads|Human Resource|8000000.0|8800000.0|9680000.0|10648000.0|11712800.0|Local Authority & NRFA|LA
|Construction of gravel township roads|Human Resource|8000000.0|8800000.0|9680000.0|10648000.0|11712800.0|Local Authority & NRFA|LA
|Rehabilitatio n and maintenance of inter district roads|Human Resource||462000000.0|508200000.0|559020000.0|614922000.0|Local Authority & NRFA|LA
|Rehabilitatio n and maintenance of feeder roads|Human Resource||165000000.0|181500000.0|199650000.0|219615000.0|Local Authority, RDA & NRFA|LA
|Construction of feeder roads|Human Resource||165000000.0|181500000.0|199650000.0|219615000.0|Local Authority, RDA & NRFA|LA
|Purchase of road construction equipment|Human Resource|5000000.0|5500000.0|6050000.0|6655000.0|7320500.0|Local Authority|LA
|Construction of Truck inn bay|Human Resource|600000.0|660000.0|726000.0|798600.0|878460.0|Local Authority|LA
|Construction of Modern bus station|Human Resource|2000000.0|2200000.0|2420000.0|2662000.0|2928200.0|Local Authority|LA
|Construction of gravel rural roads|Human Resource|80000000.0|88000000.0|96800000.0|106480000.0|117128000.0|Local Authority, RDA & NRFA|LA
|Construction of earth roads|Human Resource|60000000.0|66000000.0|72600000.0|79860000.0|87846000.0|Local Authority, RDA & NRFA|LA
|Upgrading of earth and gravel rural roads to bituminous standard|Human Resource||132000000.0|145200000.0|159720000.0|175692000.0|Local Authority, RDA & NRFA|LA
|Rehabilitatio n and Maintenance of rural roads|Human Resource|80000000.0|88000000.0|96800000.0|106480000.0|117128000.0|Local Authority, RDA & NRFA|LA
Enhance Digital Capacity|Installation of telecommuni cation towers in need areas|Human Resource|1600000.0|1760000.0|1936000.0|2129600.0||Technology and Science|LA
|Installation of radio and television transmission towers|Human Resource|1200000.0|1320000.0|1452000.0|1597200.0||Technology and Science & Telecomunication Companies|Ministry of Technology and Science & ZICTA
|Construction and establishment of a local radio and television station|Human Resource|8000000.0|8800000.0|9680000.0|10648000.0||Technology and Science & Telecomunication Companies|Ministry of Technology and Science, ZICTA & IBA
||TOTAL||1296240000.0|1425864000.0|1568450400.0|1725295440.0||
|Physical boundary|Human Resource|200000.0|220000.0|242000.0|266200.0|292820.0|DNPW/WWF/ICF /USAID|MOT/DNPW
Promote Tourism Diversifica tion|clearing and becon erection to dermacate the zones boardering with the Park and GMA, tools, equipment and logistics||||||||
|Translation of the General Management Plan into local languages for easy interpretation by local communities|Human Resource|2000000.0|2200000.0|2420000.0|2662000.0|2928200.0|DNPW/WWF/ICF /USAID/TNC|MOT/DNPW
|Sensitization meetings on land allocation with traditional leaders and all key stakeholders and installation|Human Resource|15000000.0|16500000.0|18150000.0|19965000.0|21961500.0|DNPW/WWF/ICF /USAID/TNC|MOT/DNPW
|of Wildlife Corridor signs to avoid conflicts, training materials, equipment and logistics||||||||
|Installation of Elephant Restraining Lines, Predator Proof Kraals and Chilli fencing around cluster fields and kraals, equipment, tools and logistics|Human Resource|6000000.0|6600000.0|7260000.0|7986000.0|8784600.0|DNPW/WWF/ICF /USAID/TNC|MOT/DNPW
|Conducting Conservation Education clubs in schools on animal behaviour and importance of co-|Human Resource|1600000.0|1760000.0|1936000.0|2129600.0|2342560.0|DNPW/WWF/ICF /USAID/TNC|MOT/DNPW
|existance, training materials and logistics||||||||
Promote Tourism Diversifica tion|Construction of a community Wildlife Museum|Human Resource|30000000.0|33000000.0|36300000.0|39930000.0|43923000.0|CDF/NMB/WWF/ DNPW|MOT/DNPW
|Lobbying NHCC for financial support to rehabilitate and maintain heritage sites in the district|Human Resource|40000000.0|44000000.0|48400000.0|53240000.0|58564000.0|MOT/NHCC/CDF|MOT/DNPW
|Upgrading of district council lodge to hotel standards to boost accommodati on tourism|Human Resource|20000000.0|22000000.0|24200000.0|26620000.0|29282000.0|CDF/WS|LA
|Installation and erection of Tourism signage leading to tourism sites|Human Resource|50000000.0|55000000.0|60500000.0|66550000.0|73205000.0|CDF/ZTA|MOT/DNPW /LA
|Construction of community Camp sites and Lodges|Human Resource|16000000.0|176000000.0|193600000.0|212960000.0|234256000.0|CDF/NMB/WWF/ DNPW|MOT/DNPW
||TOTAL|300000000.0|30000000.0|363000000.0|399300000.0|439230000.0||
|Development of Tourism maps that will be published and distributed to the general public, materials, logistics and tools|Human Resource|2000000.0|2200000.0|2420000.0|2662000.0|2928200.0|MOT/ZTA/DNP W/CRBs|MOT/DNPW
|Conduct Tourism local events shows in the District to show case local Tourism opportunities|Human Resource|5000000.0|5500000.0|6050000.0|6655000.0|7320500.0|MOT/ZTA/DNP W/CRBs|MOT/DNPW
|Airing of radio and TV programs to market the Tourism sites in the district|Human Resource|20000000.0|22000000.0|24200000.0|26620000.0|29282000.0|MOT/ZTA/DNP W/NHCC|MOT/DNPW
|Setting up of art markets and curios in the District to market local tourism products|Human Resource|5000000.0|5500000.0|6050000.0|6655000.0|7320500.0|MOT/ZTA/DNP W|MOT/DNPW
||TOTAL|32000000.0|35200000.0|38720000.0|42592000.0|46851200.0||
