strategy|activity|input|cost_2024|cost_2025|cost_2026|cost_2027|cost_2028|proposed_source_of_funding|source_of_information
Strengthen Public Health|Procurement of specialized equipment’s and materials in 158 schools|Human Resource|400,000|440,000|484,000|532,400|585,640 MOE||MOE
Strengthen Public Health|Procurement of 2 Utility Vehicles|Human Resource|0|1,400,000|1,540,000|0||0 MOE/LA|MOE
Strengthen Public Health||TOTAL|43,239,800|64,440,780|94,236,192|102,001,811|109,588,035||
Objective 6: The Ministry of Education will collaborate with stakeholders to improve the School Health, Nutrition and Production Units by 2034.|||||||||
Enhance Food Security and Nutrition|To increase the number of schools conducting MHM lessons and CSE|Human Resource|4,000|4,400|4,840|5,324|5,856|MOE|MOE
Enhance Food Security and Nutrition|Increase the number of schools producing vegetables and other Crops|Human Resource|2,000|2,200|2,420|2,662|2,928|MOE|MOE
Improve Sanitation Services|Community led total sanitation monitoring and verification|Human Resource|540,000|594,000|653,400|718,740|790,614|LA//WRD|WRD
Improve Sanitation Services|Open defecation free verification|Human Resource|540,000|594,000|653,400|718,740|790,614|LA/WRD|WRD
Improve Sanitation Services||TOTAL|1,080,000|1,188,000|1,306,800|1,437,480|1,581,228||
Improve Sanitation Services|Construction of 2 dump sites|Human Resource|500,000|0|600,000|0|0|Local Authority|Local Authority
Improve Sanitation Services|Clearing of current dumpsite|Human Resource|60,000|120,000|240,000|480,000|960,000|Local Authority|Local Authority
Improve Sanitation Services|Fencing of dump sites|Human Resource|250,000|0|300,000|0|0|Local Authority|Local Authority
Improve Sanitation Services|Procurement of vacuum tank|Human Resource|0|0|K0|3,000,000|0|Local Authority|Local Authority
Improve Sanitation Services|Procurement of a Tipper truck|Human Resource|0|1,500,000|1,500,000|0|0|Local Authority|Local Authority
Improve Sanitation Services|Procurement of Compactor/Roll er|Human Resource|0|0|0|3,000,000|0|Local Authority|Local Authority
Improve Sanitation Services|Procurement of Grader|Human Resource|0|0|0|0|3,000,000|Local Authority|Local Authority
Improve Sanitation Services|Engineered Landfill|Human Resource|0|0|8,000,000|0|0|Local Authority|Local Authority
Improve Sanitation Services|Construction of sewerage network|Human Resource|3,000,000|6,000,000|12,000,000|24,000,000|48,000,000|Local Authority|Local Authority
Improve Sanitation Services|Procurement of bill board and signage|Human Resource|58,000|63,800|70,180|77,198|0|Local Authority|Local Authority
Radio talks|Human Resource|5,000|5,500|6,050|6,655|7,321|Local Authority|Local Authority|
Community awareness meetings|Human Resource|40,000|44,000|48,400|53,240|58,564|Local Authority|Local Authority|
Community awareness meetings|TOTAL|3,913,000|7,733,300|22,764,630|30,617,093|52,025,885|||
Community awareness meetings|||||||||
scale up of social cash transfer beneficiaries.|Human Resource|48,000,000|52,800,000|58,080,000|63,888,000|70,276,800|MCDSS/ GRZ||MCDSS/Dep artment of Social Welfare
Repatriation of stranded persons|Human Resource|120,000|132,000|145,200|159,720|175,692|MCDSS/GRZ||MCDSS/Dep artment of Social Welfare
Education support|Human Resource|120,000|132,000|145,200|159,720|175,692|MCDSS/GRZ||MCDSS/Dep artment of Social Welfare
Medical bills|Human Resource|100,000|110,000|121,000|133,100|146,410|MCDSS/GRZ||MCDSS/Dep artment of Social Welfare
Listing and enumeration of potential beneficiaries|Human Resource|5,000,000|5,500,000|6,050,000|6,655,000|7,320,500|MCDSS/GRZ||MCDSS/Dep artment of Social Welfare
Disability certification|Human Resource|1,000,000|1,100,000|1,210,000|1,331,000|1,464,100|MCDSS/GRZ||MCDSS/Dep artment of Social Welfare
Disability certification|Purchase of baby formula|Human Resource|450,000|495,000|544,500|598,950|658,845|MCDSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification|Juvenile justice/ court investigations|Human Resource|410,000|451,000|496,100|545,710|600,281|MCDSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification|Adoption/foster care|Human Resource|200,000|220,000|242,000|266,200|292,820|MCDSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification|Community sensitization meetings|Human Resource|400,000|440,000|484,000|532,400|585,640|MCSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification|Repatriation of un- accompanied children|Human Resource|400,000|440,000|484,000|532,400|585,640|MCDSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification|Provision of a place of safety|Human Resource|500,000|550,000|605,000|665,500|732,050|MCDSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification|Recreational facilities|Human Resource|500,000|550,000|605,000|665,500|732,050|MCDSS/GRZ|
Disability certification|Counselling|Human Resource|40,000|44,000|48,400|53,240|58,564|MCDSS/GRZ|MCDSS/Dep artment of Social Welfare
Disability certification||TOTAL|57,242,024|62,966,025|69,262,426|76,188,467|83,807,112||
Objective 10: The Department of Community Development will collaborate with stakeholders to reduced poverty, vulnerabilities and inequalities by 2034.|||||||||
Enhance welfare and livelihoods of poor and vulnerable people|Increasing the number of Village bank beneficiaries on the Programme|Human Resource|2,121,620|2,333,782|2,567,160.20|2,823,876.22|3,106,263.84|MCDSS/GRZ|MCDSS/ Department of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|Increasing the number of CSLG in the District|Human Resource|1,202,548.80|1,322,803.68|1,455,084.05|1,600,592.45|1,760,651.70|MCDSS/GRZ|MCDSS/ Department of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|Increasing the number of targeted disabled on the food security pack programme|Human Resource and additional FSP inputs|480,000|528,000.00|580,800.00|638,880.00|702,768.00|MCDSS/GRZ|MCDSS/Dep artment of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|Increased number of Self- help initiatives and construction of staff accommodation|Human Resource|2,240,000|2,464,000|2,710,400|2,981,440|3,279,584|MCDSS/Local Authority/ GRZ|Local Authority/M DCSS/Depar tment of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|Increasing the number of targeted beneficiaries under the Food Security Pack Programme (FSP)|Human Resource|3,242,800|3,567,080|3,923,788|4,316,166.8|4,747,783.48|MCDSS/ GRZ|MCDSS/Dep artment of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|Increased number of economic and social empowerment|Human Resource|2,183,600|2,401,960|2,642,156|2,906,371.6|3,197,008.76|MCDSS/ GRZ|MCDSS/Dep artment of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|for Women Groups||||||||
Enhance welfare and livelihoods of poor and vulnerable people|Intensifying on the number of entrepreneurshi p ,life and business coach trainings|Human Resource|2,440,000|2,684,000|2,952,400|3,247,640|3,572,404|MCDSS/ GRZ|MCDSS/Dep artment of Community Development
Enhance welfare and livelihoods of poor and vulnerable people|Reduced cases of Gender based Violence Increasing the Number of GBV Survivors Trained in entrepreneurshi p|Human Resource|2,600,000|2,860,000|3,146,000|3,460,600|3,806,660|MCDSS/GRZ|MCDSS/Dep artment of Community Development
Enhance welfare and livelihoods of poor and vulnerable people||TOTAL|16,510,569|18,161,626|19,977,788|21,975,567|24,173,124||
