strategy|programme|activity|location_by_priority|target_2024|target_2025|target_2026|target_2027|target_2028|responsible_agency
Improve agricultural production and productivity|Early warning and surveillance systems|Procure 18 Camp Tents|Choombwa, Kamilambo, Kawama, Chipa, Chikanda, Naluvwi, Moono, Mumba, Matala, Kabwanga, Nangoma, Mumba Scheme, Chiwena, Chona, Moono, Mulendema, Chibuluma camps|0|5|5|5|3|MoA
Improve agricultural production and productivity|Early warning and surveillance systems|Procure 100 pheromon traps and accessories|District Agriculture Office|12|24|24|20|20|MoA
Improve agricultural production and productivity|Early warning and surveillance systems|Procure 225 PPEs|District Agriculture Office|25|50|50|50|50|MoA
Improve agricultural production and productivity|Early warning and surveillance systems|Procure 136 rain guages|District Agriculture Office|0|34|34|34|34|MoA
Improve agricultural production and productivity|Irrigation Development|Establish 4 irrigation schemes|Mumba scheme, Nalubanda, Chipa, Chikanda and Mpusu|0|1|1|1|1|MoA and DWRD
Improve agricultural production and productivity|Irrigation Development|Construct 6 dams|Nakasaka, Mumba, Choombwa, Naluvwi and Chipa|0|1|1|2|1|MoA and DWRD
Improve agricultural production and productivity|Irrigation Development|Rehabilitate 5 dams|Kabwanga, Kandesha, Mwambanabantu, Nangoma, Butinti|0|1|2|1|1|MoA and DWRD
Improve agricultural production and productivity|Irrigation Development|Construct 25 Weirs|Mupona, Nakasaka, Makebo, Chibolyo and Mumba wards|5|5|5|5|5|MoA and DWRD
Improve agricultural production and productivity|Irrigation Development|Rehabilitate 5 existing Weirs|Luzani, Molodoni, Kalayambunda, shimbizhi, Chibila sites|0|5|0|0|0|MoA and DWRD
Improve agricultural production and productivity|Irrigation Development|Prepare a database of land under irrigation|All the camps|0|1|1|1|1|MoA
Improve agricultural production and productivity|Irrigation Development|Train 24,500 farmers in in Climate Smart Irrigation Technologies|All camps|4213|5,000|5,000|5,387|5,000|MoA
Improve agricultural production and productivity|Irrigation Development|Link farmers to irrigation credit facilities|All camps|1,800|1,800|1,800|1,800|1,800|MoA
Improve agricultural production and productivity|Livestock Development|Establsh 10 plunge dip tanks with boreholes and hand pumps|Nalubanda, Muchabi, Keezwa, Nangoma, Nalusanga, Moono, Lutale, Mumbwa Central, Myooye and Kaindu|0|2|3|3|2|MFL
Improve agricultural production and productivity|Livestock Development|Construct a district laboratory for early diagnosis of livestock diseases|District Office|0|1|0|0|0|MFL
Improve agricultural production and productivity|Livestock Development|Rehabilitation of 6 dams|Kabwanga, Kandesha, Mwambanabantu, Nangoma, Butinti|0|0|2|2|2|MFL/MOA/D WRD/LA
Improve agricultural production and productivity|Livestock Development|Construct 15 dams|shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu|0|0|5|5|5|MFL/MOA/D WRD/LA
Improve agricultural production and productivity|Fisheries Development|Form 16 village management committees|Kaindu and Blue – lagoon|4|4|4|4|4|MFL
Improve agricultural production and productivity|Fisheries Development|Issue 1000 fishing licenses for farmers|kaindu and Blue-lagoon|200|200|200|200|200|MFL
Improve agricultural production and productivity|Fisheries Development|Train 1000 fish farmers in sustainable fishing methods|Kaindu and Blue – lagoon|200|200|200|200|200|MFL
Improve agricultural production and productivity|Fisheries Development|Sensitize 500 farmers on sustainable fishing methods|Kaindu and Blue – lagoon|100|100|100|100|100|MFL
Improve agricultural production and productivity|Fisheries Development|Install 3 ice plants near fishing camps|Choma Ward, Shimbizhi and Kalwanyembe ward|0|1|1|0|1|MFL/LA
Improve agricultural production and productivity|Fisheries Development|Restoke 420,000 fingerlings|shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu|84000|84000|84000|84000|84000|MFL
Improve agricultural production and productivity|Fisheries Development|Establishment of 3 Hatcheries|Kalwanyembe ward, Choma Ward and shimbizhi ward||1|1|0|1|MFL
Improve agricultural production and productivity|Fisheries Development|Construction of 21 demonstration ponds|shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda,|0|5|5|5|6|MFL/LA/Priv ate patners
Improve agricultural production and productivity|Fisheries Development||nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu||||||
Improve agricultural production and productivity|Establishment of 3 AI satellite centers|Establishment of 3 AI satellite centers|Nalubanda, Kaindu, Mumbwa Central|0|1||1|1|MFL/LA
Improve agricultural production and productivity|Infrastructure Development|Improve the presence of officers in the camps and district by Construction of 20 morden camp houses and 12 office blocks|shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu|0|6|8|9|5|MFL/LA
Improve agricultural production and productivity|Infrastructure Development|Improve the presence of officers in camps Rehabilitation Of 6 Camp Houses and 03 office blocks|District, Nalusanga, Kaindu, Muchabi, Keezwa, Moono, Lutale|0|3|3|3||MFL/LA
Improve agricultural production and productivity|Infrastructure Development|Recruitment of 35 Fisheries, Livestock and Veterinary Extension officers to all camps|District office, Shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu|0|7|7|7|14|MFL
Improve agricultural production and productivity|Infrastructure Development|Establishment of E- extension platforms at district and camp levels to quicken disease outbreak response|District office, shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu|1|0|0|1|0|MFL
Improve agricultural production and productivity|Infrastructure Development|Improvement of transport logistics for officers by|District office, shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa,|0|10|10|10|10|MFL/LA/Priv ate Stakeholders
Improve agricultural production and productivity|Infrastructure Development|procurement of 40 bikes|naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu||||||
Improve agricultural production and productivity|Infrastructure Development|Enhancement of efficient disease outbreak response and extension activities by procurement of 2 motor vehicles for District operations|District Office|0|1|0|1|0|MFL/LA
Improve agricultural production and productivity|Infrastructure Development|Improvement on information disemination by Development of Extension Training materials and teaching aids|District office|0|5|0|5|0|MFL
Improve agricultural production and productivity|Infrastructure Development|Facilitae Demarcation and alignment of the current Veterinary camps to wards to improve officer to number of livestock attended to|shimbizhi, lutale, choma, mumba, nambala, kamilambo, matala, myooye, chibolya, nakasaka, nalubanda, nalusanga, mupona, nangoma, keezwa, naluvwi, makebo, sichanzu, kalwanyembe, mpusu, chisalu|0|21|0|0|0|MFL/LA
Promote value addition and manufacturing|Value chain development|Establishment of a Bulking Centre to Localise Livestock Selling and Buying Points|Moono|0|0|1|0|0|MFL/LA
Promote value addition and manufacturing|Value chain development|Faciliate the establishment of Milk Collection Center|Keezwa, Mumbwa Central|1|0|1|0|0|MFL/LA
Promote value addition and manufacturing|Market linkages|Establishment of a Fisheries Market|Nangoma|0|1|0|0|0|MFL
Improve power supply to households|Connection of households to reliable power supply|Electricity Connection of Households|Mumbwa and Nangoma Constituencies|600|600|600|600|600|ZESCO/LA/R EA
Improve power supply to households|Connection of households to reliable power supply|Promotion of Off-grid Energy Solutions|Mumbwa and Nangoma Constituencies|1000|1000|1000|1000|1000|ZESCO/LA/R EA
Improve Transport and Logistics|Road Infrastructure development, Maintenance|Rehabilitation and Upgrading roads|D 181 RD 185 RD 186 N 20 D 810|0|5Km|5Km|5Km|5Km|Local Authority & NRFA
Improve Transport and Logistics|Road Infrastructure development, Maintenance||D 166 D 180 D 183|0|10Km|10Km|10Km|10Km|Local Authority & NRFA
Improve Transport and Logistics|Road Infrastructure development, Maintenance||M 9 RD 490 D 808|4Km|8Km|10Km|10Km|8Km|Local Authority & NRFA
Improve Transport and Logistics|Road Infrastructure development, Maintenance||RD 194 RD 184|4Km|8Km|10Km|10Km|8Km|Local Authority & NRFA
Enhance Digital Capacity|ICT infrastructure development|Improve on communication in the district|Mpusu, Kamilambo, Nalubanda, Nakasaka, Shichanzu, Keezwa, and Chibolyo wards.|0|2|2|2|2|Ministry of Technology and Science
Enhance Digital Capacity|ICT infrastructure development|Installation of radio and television towers|Kalwanyembe, Naluwvi, Chibolyo, Nangoma, Shichanzu, Nakasaka|0|0|2|2|2|Ministry of Technology and Science
Enhance Digital Capacity|ICT infrastructure development|Ensure proper communication in the district|Nangoma, Mumbwa|0|1|0|1|0|Ministry of Technology and Science
Promote Tourism Diversification|Wildlife management|Implementation of Land Use Plans that will guide on zonation and Land allocation in GMAs and Parks|Keezwa, Nalusanga, Miyoye, Choombwa, Shimbinji, Lutale, Choma, Mumba, Nambala, Kamilambo, Matala, Chibolya, Nakasaka, Nalubanda, Mupona, Nangoma, Makebo, Kalwayembe, Mpusu, Chisalu|70%|60%|40%|30%|10%|DNPW
Promote Tourism Diversification|Tourism promotion and marketing|Identification and Mapping of 24 Tourism Investment Sites|Nalusanga, Choma, Keezwa, Mupona, Nambala and Kalyanyembe|6 sites|10 sites|4 sites|2 sites|2 sites|DNPW/ NHCC
Promote Tourism Diversification|Tourism promotion and marketing|Conduct 30 Tourism Promotions|Nalusanga, Choma, Keezwa, Mupona, Nambala and Kalyanyembe|4 Local Shows|8 Local Shows|6 Local Shows|6 Local Shows|6 Local Shows|DNPW/ NHCC/ ZANIS
Promote Tourism Diversification|Tourism promotion and marketing|Conduct 50 Tourism Marketing Adverts|Nalusanga, Choma, Keezwa, Mupona, Nambala and Kalyanyembe|5 Adverts|15 Adverts|10 Adverts|10 Adverts|10 Adverts|DNPW/NHC C/ ZANIS
Promote Tourism Diversification|Infrastructure Development|Construction of Two Community Wildlife Museums|Mupona and Nalusanga|0|1|0|1|0|MOT/ NTMB
