record_number|project_name|project_description|sector|type_of_project|district|constituency|ward|zone|project_site_location|distance_km|year_funded|work_package|scope_of_works|status|comments|source_id|year|cdf_category
7.0|Lutale||Roads Infrastructure|Rehabilitation|Mumbwa|Mumbwa|Lutale||Lutale|10km|2025|Grading & Gravellling,43m culverts to be installed||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
8.0|Nambala-Blue Lagoon||Roads Infrastructure|Rehabilitation|Mumbwa|Mumbwa|Nambala||Nambala|40km|2025|Grading & Gravellling,43m culverts to be installed.||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
1.0|Construction of Kantengwa Bridge (Additional)|Construction of kantengwa Bridge (Additional)||||Nangoma|Matala||Kantengwa||||Additional Funding|||cdf_community_projects_nangoma_2025|2025|community_projects
2.0|Grading of 31km Nachibila to Nalubanda|Grading of 31km Nachibila to Nalubanda||||Nangoma|Myooye Shichanzu Nalubanda||Myooye Shichanzu Nalubanda||||Additional Funding|||cdf_community_projects_nangoma_2025|2025|community_projects
3.0|Procurement of Roller Compactor|270 litre Diesel Full hydraulic steering gear with Minimum operating weight of 20 Tonnes- Roller compactor||||Nangoma|All||All||||270 litre Diesel Full hydraulic steering gear with Minimum operating weight of 20 Tonnes- Roller compactor|||cdf_community_projects_nangoma_2025|2025|community_projects
4.0|Procurement of Tipper Truck|Procurement of Tipper Truck||||Nangoma|All||All||||Procurement of Tipper Truck|||cdf_community_projects_nangoma_2025|2025|community_projects
5.0|Upgrading of Nakabu secondary School by construction of a 1*3CRB with 90 Desks.|Construction of a 1*3CRB with procurement of 90 Desks.||||Nangoma|Nangoma||Nakabu Secondary School||||Construction of a 1*3CRB with procurement of 90 Desks.|||cdf_community_projects_nangoma_2025|2025|community_projects
6.0|Upgrading of Maimwene secondary school by construction of a 1*3 CRB with 90 desks|Construction of a 1*3 CRB with 90 desks||||Nangoma|Nakasaka||Maimwene Secondary School||||Construction of a 1*3CRB with procurement of 90 Desks.|||cdf_community_projects_nangoma_2025|2025|community_projects
7.0|Upgrading of Nalusanga Secondary School by construction of a 1*3 CRB with 90 desks.|construction of a 1*3 CRB with 90 desks.||||Nangoma|Nalubanda||Nalubanda school||||Construction of a 1*3 CRB with 90 desks.|||cdf_community_projects_nangoma_2025|2025|community_projects
8.0|Construction of a Maternal Annex and Incinerator at Muchabi Rural Health post|Construction of a Maternal Annex at Muchabi Rural Health post||||Nangoma|Choma||Muchabi Rural Health post||||Construction of a Maternity annex and incinerator|||cdf_community_projects_nangoma_2025|2025|community_projects
9.0|Construction of 1*3 CRB with 90desks at Luili Primary school|Construction of 1*3 CRB at Luili Primary school||||Nangoma|Matala||Luili Primary school||||Construction of a 1*3CRB with procurement of 90 Desks.|||cdf_community_projects_nangoma_2025|2025|community_projects
10.0|Construction of Semi Detached staff house at Mukubu Primary School|construction of semi Detached staff house at Mukubu Primary School||||Nangoma|Keezwa||Mukubu||||Construction of Semi detached staff house at mukubu Primary school|||cdf_community_projects_nangoma_2025|2025|community_projects
11.0|Drilling and installation of commercial borehole for water reticulation system at Mukupi primary School|Reticulation of a commercial borehole at Mukupi Primary School and water reticulation at Nachibila Primary school||||Nangoma|Keezwa||Mukupi and Nachibila||||Drilling and Installation of commercial borehole for water reticulation system at Mukupi Primary school|||cdf_community_projects_nangoma_2025|2025|community_projects
12.0|Rehabilitation of Munkola Bridge|Construction of riding of surfaces, desilting of culverts||||Nangoma|Shichanzu||Munkola||||Construction of riding of surfaces, desilting of culverts|||cdf_community_projects_nangoma_2025|2025|community_projects
13.0|Rehabilitation of Myooye Secondary School staff houses|Replacement of roofing truss system||||Nangoma|Myooye||Myooye Secondary school||||Rehabilitation of Myooye Secondary School staff houses|||cdf_community_projects_nangoma_2025|2025|community_projects
1.0|Nakabu Road|||||Nangoma|Nangoma|||14.0|||Grading and Gravelling,line and mitre drain|||cdf_community_projects_nangoma_2025|2025|community_projects
2.0|Luili Road|||||Nangoma|Mumba|||25.0|||Grading, gravelling and installtion of Culverts|||cdf_community_projects_nangoma_2025|2025|community_projects
3.0|Muchabi Road|||||Nangoma|Nalubanda|||12.5|||Grading, gravelling and installtion of Culverts|||cdf_community_projects_nangoma_2025|2025|community_projects
