record_number|project_name|project_description|sector|type_of_project|district|constituency|ward|zone|project_site_location|distance_km|year_funded|work_package|scope_of_works|status|comments|source_id|year|cdf_category
14|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Moola Community School|Education|Construction|Mumbwa|Nangoma|Sichanzu|Choombwa|Moola Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
15|Drilling of a Borehole|Drilling of a Borehole in Nalwali Village (Chitumbo Area)|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Choombwa|Chitumbo Village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
16|Drilling of a Borehole|Drilling of a Borehole in Chikwanka Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Choombwa|Chikwanka Village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
17|Drilling of a Borehole|Drilling of a Borehole in Shichimenze Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Choombwa|Shichimenze Village (Makwenda Area||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
18|Construction of a Semi - Detached House|Construction of a Semi - Detached House at Mukupi Primary School|Education|Construction|Mumbwa|Nangoma|Myooye|Mukupi|Mukupi Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
19|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Shimunungu Primary School|Education|Construction|Mumbwa|Nangoma|Myooye|Shimunungu|Shimunungu Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
20|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Tiina Community School|Education|Construction|Mumbwa|Nangoma|Myooye|Shimunungu|Tiina Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
21|Construction of 4 VIP latrines|Construction of 4 VIP latrines at Myooye Clinic|Health|Construction|Mumbwa|Nangoma|Myooye|Myooye|Myooye Clinic||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
22|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Shimumbu community school|Education|Construction|Mumbwa|Nangoma|Myooye|Shimumbu|Shimumbu community school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
23|Rehabilitation of ward block|Rehabilitation of ward block at myooye clinic|Health|Rehabilitation|Mumbwa|Nangoma|Myooye|Myooye|Myooye Rural Health Post||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
24|Reticulation of a commercial borehole|Renticulation of a commercial borehole at Mukupi Community|Water|Reticulation|Mumbwa|Nangoma|Myooye|Mukupi|Mukupi Community||||||APPROVED|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
25|water reticulation|Water reticulation at Nachibila primary school|Education|Reticulation|mumbwa|Nangoma|myooye|Nachibila|Nachibila primary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
26|Construction of boys dormitory|Construction of boys dormitory at myooye secondary school at Kayanza community school|Education|Construction|Mumbwa|Nangoma|Myooye|Myooye|myooye secondary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
27|Spray lace renovations|Spray lace renovations at Cheela village community|Livestock & veterinary|Rehabilitation|Mumbwa|Nangoma|Myooye|Myooye|Cheela village community||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
28|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at myooye primary school|Education|Construction|Mumbwa|Nangoma|Myooye|Myooye|myooye primary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
29|drilling of 10 boreholes|drilling of 10 boreholes at shimumbu,mukupi, myooye,and nachibila communites|Water|Drilling & Installation|Mumbwa|Nangoma|Myooye|myooye|commuity||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
30|completion of 3 staff house and construction of 1x3 classroom block|completion of 3 staff house and construction of 1x3 classroom block at Shakumbila Primary school|Education|Construction & Completion|Mumbwa|Nangoma|Chisalu|shakumbila|shakumbila primary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
31|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Mukunki primary school|Education|Construction|Mumbwa|Nangoma|Chisalu|myooye|Mukunki primary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
32|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at shakumbila seconary school|Education|Construction|Mumbwa|Nangoma|Chisalu|shakumbila|shakumbila primary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
33|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Shalom community school|Education|Construction|Mumbwa|Nangoma|Chisalu|shakumbila|Shalom community school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
34|Rehabilitation of 2 Classroom Blocks|Rehabilitation of 2 Classroom Blocks at Moombeluele Primary School|Education|Rehabilitation|Mumbwa|Nangoma|Chisalu|Nachilumbi|Moombeluele Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
35|Rehabilitation of 2 Classroom Blocks|Rehabilitation of 2 Classroom Blocks at Moombeluele Primary School|Education||Mumbwa|Nangoma|Chisalu|Nachilumbi|Moombeluele Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
36|Construction of Maternity wing|Construction of Maternity wing|health|Construction|Mumbwa|Nangoma|Chisalu|Shakumbila|Shakumbila clinic||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
37|Construction of 1*3 Art Staff Room|Construction of 1*3 Art Staff Room at Keezwa Rural Health Post|Health|Construction|Mumbwa|Nangoma|Keezwa|Keezwa|Keezwa Health Post||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
38|Drilling a Borehole|Drilling a Borehole in Munashintule B, Kabwele & Chipwaya B Village|Water|Drilling & Installation|Mumbwa|Nangoma|Keezwa|Keezwa|Munashintule B, Kabwele & Chipwaya Village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
39|Drilling of 2 Boreholes|Drilling of 2 Boreholes in Mukubu & Mukubani Village|Water|Drilling & Installation|Mumbwa|Nangoma|Keezwa|Mukubu|Mukubu & Mukubani Village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
40|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Luumpe Community School|Education|Construction|Mumbwa|Nangoma|Keezwa|Luumpe|Luumpe Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
41|Construction of a Health Post|Construction of a Health Post in Mukubu Community|Health|Construction|Mumbwa|Nangoma|Keezwa|Mukubu|Mukubu Community & Sarounding Communities||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
42|Construction of a Maternal Annex|Construction of a Maternal Annex at Muchabi Rural Health Post|Health|Construction|Mumbwa|Nangoma|Choma|Muchabi|Muchabi Rural Health Post||||||APPROVED|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
43|Construction of 2 Staff Houses|Construction of 2 Staff Houses at Muchabi Rural Health Post|Health|Construction|Mumbwa|Nangoma|Choma|Muchabi|Muchabi Rural Health Post||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
44|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Nguzu Primary School|Education|Construction|Mumbwa|Nangoma|Choma|Nguzu|Nguzu Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
45|Drilling of a Borehole|Drilling of a Borehole at Shachizobe Zone|Water|Drilling & Installation|Mumbwa|Nangoma|Choma|Shachizobe|Shachizobe Zone||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
46|Construction 4 Toilets & 2 Bathing Rooms|Construction 4 Toilets & 2 Bathing Rooms at Naleza Wildlife Office Gate -The Road Passing in the Blue Lagoon National Park (BLNPN)|Tourism|Construction|Mumbwa|Nangoma|Choma|Shakumbila|Naleza Wildlife Office Gate||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
47|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Shachizobe Primary School|Education|Construction|Mumbwa|Nangoma|Choma|Shachizobe|Shachizobe Prinar School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
48|Drilling of a Borehole - Indian Mark 2 Type|Drilling of a Borehole - Indian Mark 2 Type at Chiposo Area Shachizobe Zone|Water|Drilling & Installation|Mumbwa|Nangoma|Choma|Shachizobe|Chiposo Area||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
49|Construction of Staff House|Construction of Staff House at Muchabi Primary School|Education|Construction|Mumbwa|Nangoma|Choma|Muchabi|Muchabi Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
50|Construction of a Veterinary Drug Storage|Construction of a Vetenary Drug Storage|Livestock & Veterinary|Construction|Mumbwa|Nangoma|Choma|Muchabi|Muchabi village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
51|Drilling of Hand Pumps|Drilling of Hand pumps in Muchabi , Shakumbila, Nguzu & Shachizobe Communities|Water|Drilling & Installation|Mumbwa|Nangoma|Choma|Muchabi|Muchabi,Shakumbila, Nguzu & Shakumbila Communities||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
52|Construction of Matron House|Construction of Matron House at the Girls Dormitory to provide Continued Supervision at Nangoma Secondary School|Education|Construction|Mumbwa|Nangoma|Nangoma|Nangoma|Nangoma Secondary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
53|Construction of a Staff House|Construction of a Staff House Nakabu Primary School|Education|Reticulation|Mumbwa|Nangoma|Nangoma|Nakabu|Nakabu Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
54|Construction of a Crossing Point|Construction of a Crossing Point at Nabuyuni Stream Crosing Point|Roads|Construction|Mumbwa|Nangoma|Nangoma|Nabuyuni|Nabuyuni Stream Crossing Point||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
55|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Chibusa Primary School|Education|Construction|Mumbwa|Nangoma|Nangoma|Nabuyuni|Chibusa Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
56|Construction of a Crossing Point|Construction of a Crossing Point at Chipoomoka across Nanjili Stream|Roads|Construction|Mumbwa|Nangoma|Nangoma|Nangoma|Chipoomoka across Nanjili Stream||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
57|Construction of 1*3 Ablution Block|Construction of 1*3 Ablution Block - at Kasalu Primary School|Education|Construction|Mumbwa|Nangoma|Nangoma|Kasalu|Kasalu Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
58|Construction of a Market Shelter|Construction of a Market Shelter at Kasalu Market|Infrastructure|Construction|Mumbwa|Nangoma|Nangoma|Kasalu|Kasalu Market||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
59|Construction of a Crossing Point|Construction of a Crossing Point Ntembelwa, Shamamoma Community|Roads|Construction|Mumbwa|Nangoma|Nangoma|Kasalu|Ntembelwa, Shamamoma Community||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
60|Construction of 1*4 Classroom Block|Construction of 1*4 Classroom Block at Luili Primary School|Education|Construction|Mumbwa|Nangoma|Matala|Luili|Luili Primary School||||||APPROVED|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
61|Lack of electricity|Lack of electricity at Matala Primary School|Education|Electrification|Mumbwa|Nangoma|Matala|Matala|Matala Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
62|Construction of Classroom Block|Construction of Classroom Block|Education|Construction|Mumbwa|Nangoma|Matala|Katengwa|Katengwa Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
63|Construction of Administrative block with staff room, Renovation of ablurion block, Water Reticulation and Staff Accomodation .|Construction of Administrative block with staff room, Renovation of ablurion block, Water Reticulation and Staff Accomodation - Sanje Primary School.|Education|Construction & Rehabilitation|Mumbwa|Nangoma|Nakasaka|Sanje|Sanje Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
64|Construction of 2 staff houses|Construction of 2 staff houses at Muyoba Primary School|Education|Construction|Mumbwa|Nangoma|Nakasaka|Muyoba|Muyoba Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
65|Lack of Staff Accomodation, School Toilets not enough, Borehole needs pipe replacement.|Lack of Staff Accomodation, School Toilets not enough, Borehole needs pipe replacement at Nakasaka Primary School|Education|Construction|Mumbwa|Nangoma|Nakasaka|Mainwene|Nakasaka Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
66|Lack of a dinning hall for feeding, Water crisis and staff accomodation|Lack of a dinning hall for feeding, Water crisis and staff accomodation at Sanje Primary School|Education|Construction|Mumbwa|Nangoma|Nakasaka|Sanje|Sanje Secondary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
67|Construction of a Health Post|Construction of a Health Post in Nambwa Zone|Health|Construction|Mumbwa|Nangoma|Nakasaka|Nambwa|Nambwa Community||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
68|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Mumba Scheme Primary School|Education|Construction|Mumbwa|Nangoma|Nakasaka|Mumba Scheme|Mumba Scheme Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
69|Construction of three (3) staff house and one (1) rehabilitation of 1x3 Classroom Block|Construction of three (3) staff house and one (1) rehabilitation of 1x3 Classroom Block|Education|Construction|Mumbwa|Nangoma|Matala|Kansangwa|Kansangwa Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
70|Construction of a foot bridge|Construction of a foot bridge in Shambata Village|Roads|Construction|Mumbwa|Nangoma|Sichanzu|Munkolo|Shambata Village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
71|Rehabilitation if a bridge|Rehabilitation if a bridge in Munkolo Zone|Roads|Rehabilitation|Mumbwa|Nangoma|Sichanzu|Munkolo|Munkolo Zone||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
72|Renovation of spray race|Renovation of spray race - Malima Area|Livestock|Renovation|Mumbwa|Nangoma|Sichanzu|Malima|Malima||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
73|Construction of 1*3 Claaroom Block|Construction of 1*3 Classroom Block at Chifwembe Primary school|Education|Construction|Mumbwa|Nangoma|Nalubanda|Chifwembe|Chifwembe Primary school||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
74|Construction of a Staff House|Construction of a Staff House at Mweempe Primary|Education|Construction|Mumbwa|Nangoma|Nalubanda|Mweempe|Mweempe Primary School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
75|Drilling of Six (6) Boreholes|Drilling of Six (6) Boreholes , Mweemba ,SuSu ,Shambosha,Nalubanda,Mulondo & Muzuni Village|Water|Drilling & Installation|Mumbwa|Nangoma|Nalubanda|Selected Points|Drilling of Six (6) Boreholes , Mweemba ,SuSu ,Shambosha,Nalubanda,Mulondo & Muzuni Village||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
76|Construction of a Staff House|Construction of a Staff House at Chaangwe Community|Education|Construction|Mumbwa|Nangoma|Nalubanda|Chaangwe|Chaangwe Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
