record_number|project_name|project_description|sector|type_of_project|district|constituency|ward|zone|project_site_location|distance_km|year_funded|work_package|scope_of_works|status|comments|source_id|year|cdf_category
26|Drilling of boreholes around the Ward|Drilling of boreholes around the Ward|Water|Drilling & installation||Mumbwa|||All Zones||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
27|Construction of a Girls Domitory & VIP Toilets|Construction of a Girls Domitory & VIP Toilets Chibuluma Secondary School|Education|Construction||Mumbwa|||Chibuluma Secondary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
28|Completion of Kabalwa Rural Health Post|Completion of Kabalwa Rural Health Post in Chilolyo Ward|Health|Completion||Mumbwa|||Kabalwa Rural Health Post||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
29|Construction of Ablution Block, 1*3 Classroom Block and 3 Staff Houses at Nakanjoli Primary School|Construction of Ablution Block, 1*3 Classroom Block and 3 Staff Houses at Nakanjoli Primary School|Education|Construction||Mumbwa|||Nakanjoli Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
30|Completion of 2*2 Classroom Block & Rehabilitation of 1 Staff House|Completion of 2*2 Classroom Block & Rehabilitation of 1 Staff House Kangomba Primary School|Education|Completion||Mumbwa|||Kangomba Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
31|Construction of Staff House|Construction of a Staff House at Kalunzyu Primary School|Education|Construction||Mumbwa|||Kalunzyu Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
32|Construction of 1*3 CRB|Construction of 1*3 CRB Mutenda Community School|Education|Construction||Mumbwa|||Mutenda Community School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
33|Construction of a Rural Health Post|Construction of a Rural Health Post in Moobe Community|Health|Construction||Mumbwa|||Moobe Zone||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
34|Drilling of 5 boreholes around the Community|Drilling of 5 boreholes around the Community in Mwananduba Village|Water|Drilling & installation||Mumbwa|||Mwananduba Village||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
35|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Muleke Primary School|Education|Construction||Mumbwa|||Muleke Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
36|Drilling of a Borehole|Drilling of a Borehole at Kanshinka Primary School|Education|Drilling & installation||Mumbwa|||Kanshinka Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
37|Construction of a Maternity Labour Ward|Construction of a Maternity Labour Ward|Health|Construction||Mumbwa|||Kanshinka Rural Health Post||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
38|Construction of Rural Heath|Construction of a Rural Health in Mukanda Zone - Mwanang'umbwe Village|Health|Construction||Mumbwa|||Mwanang'umbwe Village||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
39|Construction of a Maternity Wing & Water Reticulation System|Construction of a Maternity Wing & Water Reticulation System at Kabwanga Rural Health post|Health|Construction & Reticulation||Mumbwa|||Kabwanga Rural Health Post||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
40|Construction of a Farmer Training Centre (FTC)|Construction of a Farmer Training Centre (FTC) at Kanshinka Agricultural Camp|Agriculture|Construction||Mumbwa|||Kanshinka Agricultural Camp||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
41|Construction of Teachers Staff House|Construction of Teachers Staff House|Education|Construction||Mumbwa|||Kalenda Primary School||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
42|Road Rehabilitation|Road Rehabilitation in Kalwanyembe Ward|Roads|Grading||Mumbwa|||Kalwanyembe Community||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
43|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Kitumba Community School|Education|Construction||Mumbwa|||Kitumba Community School||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
44|Construction of a Secondary School|Construction of a Secondary School at Bulungu day School|Education|Construction||Mumbwa|||Bulungu Secondary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
45|Construction of an urban clinic|construction of an urban clinic maternity annex|Health|Construction||Mumbwa|||Mumbwa||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
46|Construction of a community School|Construction of a 1x3 class room block school at Shikatundwe|Education|Construction||Mumbwa|||Shikatundwe Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
47|Construction of a Correctional Facility School|Construction of a 1X3 Class room at Mumbwa Correctional facility|Security|Construction||Mumbwa|||Mumbwa Correctional centre||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
48|Eletrification of a school|Electrification of Chipo Primary|Energy|Electrification||Mumbwa|||Munengo area/Mumbwa||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
49|Construction of a primary school|Construction of a 1x3 class room block school at Bulungu|Education|Construction||Mumbwa|||Bulungu||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
50|construction of a 1x4 classroom/administration|Construction of a 1x4 Classroom/Administration at Makasa School|Education|Construction||Mumbwa|||Makasa School/Mumbwa||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
51|Construction of Vet offices/Laboratory|Construction of Vet offices/Laboratory|Fisheries, Livestock and Veterinery serves|Construction||Mumbwa|||Veterinery offices/Muumbwa||||||CANCELLED & RESCOPED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
52|Rehabilitation of 1*4 Classroom Block and 3 Staff Houses at Katele Primary School|Rehabilitation of 1*4 Classroom Block and 3 Staff Houses at Katele Primary School|Education|Construction||Mumbwa|||Katele Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
53|Connecting of Lusekelo Primary School & Chankwankwa Rural Health Centre to the National Grid|Connecting of Lusekelo Primary School & Chankwankwa Rural Health Centre to the National Grid|Energy|Electrification||Mumbwa|||Lusekelo Primary school & Chankwankwa Rural Health Centre||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
54|Grading & Gravelling of 22 Km Lutale Road|Grading & Gravelling of 22 Km Lutale Road|Roads|Grading||Mumbwa|||||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
55|Construction of a Health Post in Mapoko|Construction of a Health Post in Mapoko|Health|Construction||Mumbwa|||Mapoko||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
56|Construction of the office of the Member of Parliament Office|Construction of Member of Parliament office|Governance|Construction||Mumbwa|||MPs office||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
57|Additional funding for 2.4Km road drainage|Additional funding for 2.4Km road drainage|Roads|Construction||Mumbwa|||Mupona||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
58|Procurement of Roller Compactor|Procurement of Roller Compactor|Roads|Procurement||Mumbwa|||Police station||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
59|Erection of a wire fence for the community radio station|Erection of wire fence|Information|Erection & installation||Mumbwa|||Wire Fence||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
