year|financial_type|category/code|description|amount|source
2026|Revenue Budget|045 (Fees and Charges)|Notice of marriage fees|70000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|046 (Fees and Charges)|Abattoir/meat inspection fees|517200.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|050 (Fees and Charges)|Vendor Fees|27375.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|051 (Fees and Charges)|Farm produce Fee|78240.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|053 (Fees and Charges)|Certification of documents|6500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|055 (Fees and Charges)|Illegal Paring of vehicles|31500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|056 (Fees and Charges)|Repairs of cars/garage/car wash|120000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|063 (Fees and Charges)|Billboards and banners|221100.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|066 (Fees and Charges)|Penalties|184671.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|067 (Fees and Charges)|Ablution Fee|384800.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|072 (Fees and Charges)|Booth fees|200000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|073 (Fees and Charges)|Ntemba fees|260000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|087 (Fees and Charges)|Animal Identification Mark Fees (Brand marks)|47880.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|099 (Fees and Charges)|Other fees and charges|64500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (Licenses)|Liquor licence|237000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (Licenses)|Firearm and ammunition licence|22000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|004 (Licenses)|Petroleum Storage licence|418500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|005 (Licenses)|Dog licence|30000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|007 (Licenses)|Fish Licences/origin of fish|44400.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|099 (Licenses)|Other Licences|220000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|001 (Levies)|Livestock Movement levy|80400.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (Levies)|Birds levy|48000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (Levies)|Fish levy|18000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|004 (Levies)|Pole levy|5264.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|005 (Levies)|Charcoal levy|72000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|006 (Levies)|Sand levy|49200.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|008 (Levies)|Quarry levy|28800.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|011 (Levies)|Telecommunication Mast|190000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|016 (Levies)|Grain Levy|1080000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|017 (Levies)|Trading (Wholesale) Business Levy|375000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|018 (Levies)|Trading (Retail) Consumable groceries business|316000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|019 (Levies)|Retail Merchants non-consumable business|265500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|020 (Levies)|Trading (Retail) chain stores and supermarkets|5000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|026 (Levies)|Hawker|3000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|027 (Levies)|Peddler|3600.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|028 (Levies)|Filling Station|50000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|031 (Levies)|Car Wash|22500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|032 (Levies)|Hospitality|325000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|033 (Levies)|Commercial Banks|30000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|034 (Levies)|Micro- Finance and Money-Lenders|50000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|099 (Levies)|Other levies|3682000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|001 (Permits)|Health permits|607500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (Permits)|Permit for opaque beer|7000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (Permits)|Herbalist permit|5500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|005 (Permits)|Transportation of meat products|540000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|008 (Permits)|Burial permits and grave sites|47500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|009 (Permits)|Fire certificate|1161800.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|010 (Permits)|Extension of Business hours permits|21600.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|011 (Permits)|Social gathering permit|27000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|099 (Permits)|Primary, Secondary and Tertiary permits|56000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (Charges)|Premium Plot- Residential|669000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|007 (Charges)|Land Application Charges|18750.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|008 (Charges)|Land Conversion|3197500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|009 (Charges)|Change of ownership|98000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (Other Incomes)|Surplus/ Deficit from Commercial Ventures|120278.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|099 (Other Incomes)|Other Income|68000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|001 (National Support (Grants))|Constituency Development Fund|80065100.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (National Support (Grants))|Roads Grant|6832481.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (National Support (Grants))|Health Grant|6432992.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|004 (National Support (Grants))|Local Government Equalisation Fund|17054618.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|005 (National Support (Grants))|Grants in lieu of Rates|350000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|099 (National Support (Grants))|Other Grants|24148681.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|001 (Donor Support (Grants))|Devolution Capital Grant|5819856.0|2026 Approved Budget PDF (Pages 2-5)
2026|Expenditure Budget (Economic Classification)|21|Personal Emoluments|25110993.0|2026 Approved Budget PDF (Pages 5-6)
2026|Expenditure Budget (Economic Classification)|22|Goods and Services|33391520.0|2026 Approved Budget PDF (Pages 5-6)
2026|Expenditure Budget (Economic Classification)|25|Social Assistance Benefits|21553524.0|2026 Approved Budget PDF (Pages 5-6)
2026|Expenditure Budget (Economic Classification)|26|Grants and Other Payments(Transfers)|19325693.0|2026 Approved Budget PDF (Pages 5-6)
2026|Expenditure Budget (Economic Classification)|31|Non-Financial Assets|65316312.0|2026 Approved Budget PDF (Pages 5-6)
2026|Expenditure Budget (Economic Classification)|41|Current Liabilities (Payable within one year)|1208000.0|2026 Approved Budget PDF (Pages 5-6)
2026|Programme Budget|Prog 1|Constituency Development|80065100.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 2|Local Governance|3404859.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 3|Integrated Development Planning|2476953.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 4|Economic and business development|777282.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 5|Public health and Environmental protection|2463497.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 6|Housing and Community Amenities|13115225.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 7|Recreation Culture and Religion|699909.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 8|Education and skills development|723657.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 10|Public order and safety|7401149.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 11|Management and support Services|15912325.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 12|Resource Mobilisation and Management|1746942.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 13|District Health servcies|6432992.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 15|Transport Services|6832481.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 16|Agricultural Services|502947.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 17|Fisheries and Livestock|503175.0|2026 Approved Budget PDF (Page 7)
2026|Programme Budget|Prog 18|Social Protection and Community Development|22847549.0|2026 Approved Budget PDF (Page 7)
2026|Sub-Programme Budget|SubProg 779|Community Projects|57119825.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 780|Women and Youth Empowerment|5518484.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 781|CDF Administration|3630581.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 782|Secondary School and Skills Development Bursaries|13796210.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 003|Legislative Functions|3335054.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 010|Local Elections|69805.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 045|Citizen Engagement|0.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 006|Environmental planning|0.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 021|Spatial Planning|1581774.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 033|Socio Economic planning|895179.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 038|Trade facilitation and Licensing|777282.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 019|Health Inspections|994958.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 023|Pest control|34200.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 027|Solid Waste Management|636770.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 034|Water supply and Sanitation Services|797569.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 008|Roads and Drainages|264855.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 011|Parks and Gardens|100715.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 012|Markets and Bus Stations|2341622.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 017|Community Centres|5981066.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 026|Public Housing|4426967.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 031|Street Lighting|0.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 001|Cultural Affairs|16474.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 032|Registration of Marriages and Deaths|5300.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 042|Sports Promotion|678135.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 001|District archives|19915.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 039|Library Services|703742.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 037|Support to Indigent People|0.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 014|Building Regulations|500965.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 018|Community Policing|1733858.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 041|Fire Protection Services|5166327.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 001|Human Resource|6915309.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 003|Public Relations|509370.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 009|Executive Management|935968.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 016|ProcurementMangement|687065.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 024|ICT|836757.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 028|Auditing|1104743.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 035|Accounting Management|3795846.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 036|Legal Services|1127267.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 067|Revenue Mobilisation and Enhancement|1746942.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 001|Primary Health Services|5756368.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 002|District Health Coordination|676624.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 001|Road Transport|6351370.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 003|Water Transport|481111.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 071|Agricultural Crop production, Advisory and Technical|308724.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 072|Agribusiness Development and Marketing|61543.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 073|Agriculture Co-ordination|132680.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 074|Fisheries and Livestock Marketing|108996.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 075|Animal Health Services|133506.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 076|Fisheries Production and Productivity Improvement|69456.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 077|Livestock Production and Productivity Improvement|70602.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 078|District Fisheries and Livestock Coordination|120616.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 079|District Social welfare|22840652.0|2026 Approved Budget PDF (Pages 8-9)
2026|Sub-Programme Budget|SubProg 080|Community Development|6897.0|2026 Approved Budget PDF (Pages 8-9)
2026|Programme 1 Expenditure|Prog 1 (02)|Constituency Development - Use of Goods and Services|11084052.0|2026 Approved Budget PDF (Page 12)
2026|Programme 1 Expenditure|Prog 1 (02)|Constituency Development - General Operations|11084052.0|2026 Approved Budget PDF (Page 12)
2026|Programme 1 Expenditure|Prog 1 (03)|Constituency Development - Transfers|19314693.0|2026 Approved Budget PDF (Page 12)
2026|Programme 1 Expenditure|Prog 1 (01)|Constituency Development - Transfers|19314693.0|2026 Approved Budget PDF (Page 12)
2026|Programme 1 Expenditure|Prog 1 (04)|Constituency Development - Assets|49666354.0|2026 Approved Budget PDF (Page 12)
2026|Programme 1 Expenditure|Prog 1 (01)|Constituency Development - Non-Financial Assets (Capital Expenditure)|49666354.0|2026 Approved Budget PDF (Page 12)
2026|Programme 1 Expenditure|Prog 1 (02)|Constituency Development - Financial Assets|7473871.0|2026 Approved Budget PDF (Page 12)
2026|Programme 2 Expenditure|Prog 2 (01)|Local Governance - Personal Emoluments|432018.0|2026 Approved Budget PDF (Page 14)
2026|Programme 2 Expenditure|Prog 2 (01)|Local Governance - Salaries and Wages|432018.0|2026 Approved Budget PDF (Page 14)
2026|Programme 2 Expenditure|Prog 2 (03)|Local Governance - Personnel Related Costs|1728000.0|2026 Approved Budget PDF (Page 14)
2026|Programme 2 Expenditure|Prog 2 (02)|Local Governance - Use of Goods and Services|2909589.0|2026 Approved Budget PDF (Page 14)
2026|Programme 2 Expenditure|Prog 2 (02)|Local Governance - General Operations|2909589.0|2026 Approved Budget PDF (Page 14)
2026|Programme 2 Expenditure|Prog 2 (04)|Local Governance - Assets|63252.0|2026 Approved Budget PDF (Page 14)
2026|Programme 2 Expenditure|Prog 2 (01)|Local Governance - Non-Financial Assets (Capital Expenditure)|63252.0|2026 Approved Budget PDF (Page 14)
2026|Programme 3 Expenditure|Prog 3 (01)|Integrated Development Planning - Personal Emoluments|1384057.0|2026 Approved Budget PDF (Page 16)
2026|Programme 3 Expenditure|Prog 3 (01)|Integrated Development Planning - Salaries and Wages|1384057.0|2026 Approved Budget PDF (Page 16)
2026|Programme 3 Expenditure|Prog 3 (02)|Integrated Development Planning - Use of Goods and Services|1057896.0|2026 Approved Budget PDF (Page 16)
2026|Programme 3 Expenditure|Prog 3 (02)|Integrated Development Planning - General Operations|1057896.0|2026 Approved Budget PDF (Page 16)
2026|Programme 3 Expenditure|Prog 3 (04)|Integrated Development Planning - Assets|35000.0|2026 Approved Budget PDF (Page 16)
2026|Programme 3 Expenditure|Prog 3 (01)|Integrated Development Planning - Non-Financial Assets (Capital Expenditure)|35000.0|2026 Approved Budget PDF (Page 16)
2026|Programme 4 Expenditure|Prog 4 (01)|Economic and business development - Personal Emoluments|616809.0|2026 Approved Budget PDF (Page 18)
2026|Programme 4 Expenditure|Prog 4 (01)|Economic and business development - Salaries and Wages|616809.0|2026 Approved Budget PDF (Page 18)
2026|Programme 4 Expenditure|Prog 4 (02)|Economic and business development - Use of Goods and Services|119873.0|2026 Approved Budget PDF (Page 18)
2026|Programme 4 Expenditure|Prog 4 (02)|Economic and business development - General Operations|119873.0|2026 Approved Budget PDF (Page 18)
2026|Programme 4 Expenditure|Prog 4 (04)|Economic and business development - Assets|40600.0|2026 Approved Budget PDF (Page 18)
2026|Programme 4 Expenditure|Prog 4 (01)|Economic and business development - Non-Financial Assets (Capital Expenditure)|40600.0|2026 Approved Budget PDF (Page 18)
2026|Programme 5 Expenditure|Prog 5 (01)|Public health and Environmental protection - Personal Emoluments|912047.0|2026 Approved Budget PDF (Page 20)
2026|Programme 5 Expenditure|Prog 5 (01)|Public health and Environmental protection - Salaries and Wages|912047.0|2026 Approved Budget PDF (Page 20)
2026|Programme 5 Expenditure|Prog 5 (02)|Public health and Environmental protection - Use of Goods and Services|1148950.0|2026 Approved Budget PDF (Page 20)
2026|Programme 5 Expenditure|Prog 5 (02)|Public health and Environmental protection - General Operations|1148950.0|2026 Approved Budget PDF (Page 20)
2026|Programme 5 Expenditure|Prog 5 (04)|Public health and Environmental protection - Assets|402500.0|2026 Approved Budget PDF (Page 20)
2026|Programme 5 Expenditure|Prog 5 (01)|Public health and Environmental protection - Non-Financial Assets (Capital Expenditure)|402500.0|2026 Approved Budget PDF (Page 20)
2026|Programme 5 Expenditure|Prog 5 (01)|Public health and Environmental protection - Tonnage of garbage collected|15000.0|2026 Approved Budget PDF (Page 21)
2026|Programme 6 Expenditure|Prog 6 (01)|Housing and Community Amenities - Personal Emoluments|3526875.0|2026 Approved Budget PDF (Page 22)
2026|Programme 6 Expenditure|Prog 6 (01)|Housing and Community Amenities - Salaries and Wages|3526875.0|2026 Approved Budget PDF (Page 22)
2026|Programme 6 Expenditure|Prog 6 (02)|Housing and Community Amenities - Use of Goods and Services|1863593.0|2026 Approved Budget PDF (Page 22)
2026|Programme 6 Expenditure|Prog 6 (02)|Housing and Community Amenities - General Operations|1863593.0|2026 Approved Budget PDF (Page 22)
2026|Programme 6 Expenditure|Prog 6 (04)|Housing and Community Amenities - Assets|7724758.0|2026 Approved Budget PDF (Page 22)
2026|Programme 6 Expenditure|Prog 6 (01)|Housing and Community Amenities - Non-Financial Assets (Capital Expenditure)|7724758.0|2026 Approved Budget PDF (Page 22)
2026|Programme 6 Expenditure|Prog 6 (01)|Housing and Community Amenities - Community Buildings Maintained|3.0|2026 Approved Budget PDF (Page 24)
2026|Programme 7 Expenditure|Prog 7 (02)|Recreation Culture and Religion - Use of Goods and Services|688909.0|2026 Approved Budget PDF (Page 25)
2026|Programme 7 Expenditure|Prog 7 (02)|Recreation Culture and Religion - General Operations|688909.0|2026 Approved Budget PDF (Page 25)
2026|Programme 7 Expenditure|Prog 7 (03)|Recreation Culture and Religion - Transfers|11000.0|2026 Approved Budget PDF (Page 25)
2026|Programme 7 Expenditure|Prog 7 (01)|Recreation Culture and Religion - Transfers|11000.0|2026 Approved Budget PDF (Page 25)
2026|Programme 7 Expenditure|Prog 7 (04)|Recreation Culture and Religion - Assets|15000.0|2026 Approved Budget PDF (Page 25)
2026|Programme 7 Expenditure|Prog 7 (01)|Recreation Culture and Religion - Non-Financial Assets (Capital Expenditure)|15000.0|2026 Approved Budget PDF (Page 25)
2026|Programme 8 Expenditure|Prog 8 (01)|Education and skills development - Personal Emoluments|547467.0|2026 Approved Budget PDF (Page 27)
2026|Programme 8 Expenditure|Prog 8 (01)|Education and skills development - Salaries and Wages|547467.0|2026 Approved Budget PDF (Page 27)
2026|Programme 8 Expenditure|Prog 8 (02)|Education and skills development - Use of Goods and Services|53690.0|2026 Approved Budget PDF (Page 27)
2026|Programme 8 Expenditure|Prog 8 (02)|Education and skills development - General Operations|53690.0|2026 Approved Budget PDF (Page 27)
2026|Programme 8 Expenditure|Prog 8 (04)|Education and skills development - Assets|122500.0|2026 Approved Budget PDF (Page 27)
2026|Programme 8 Expenditure|Prog 8 (01)|Education and skills development - Non-Financial Assets (Capital Expenditure)|122500.0|2026 Approved Budget PDF (Page 27)
2026|Programme 10 Expenditure|Prog 10 (01)|Public order and safety - Personal Emoluments|5510844.0|2026 Approved Budget PDF (Page 29)
2026|Programme 10 Expenditure|Prog 10 (01)|Public order and safety - Salaries and Wages|5510844.0|2026 Approved Budget PDF (Page 29)
2026|Programme 10 Expenditure|Prog 10 (02)|Public order and safety - Use of Goods and Services|1426140.0|2026 Approved Budget PDF (Page 29)
2026|Programme 10 Expenditure|Prog 10 (02)|Public order and safety - General Operations|1426140.0|2026 Approved Budget PDF (Page 29)
2026|Programme 10 Expenditure|Prog 10 (04)|Public order and safety - Assets|464165.0|2026 Approved Budget PDF (Page 29)
2026|Programme 10 Expenditure|Prog 10 (01)|Public order and safety - Non-Financial Assets (Capital Expenditure)|464165.0|2026 Approved Budget PDF (Page 29)
2026|Programme 10 Expenditure|Prog 10 (10)|Public order and safety - Public order and safety|7401149.0|2026 Approved Budget PDF (Page 29)
2026|Programme 11 Expenditure|Prog 11 (01)|Management and support Services - Personal Emoluments|10824925.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (01)|Management and support Services - Salaries and Wages|10672425.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (02)|Management and support Services - Other Emoluments|152500.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (02)|Management and support Services - Use of Goods and Services|3448588.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (02)|Management and support Services - General Operations|3448588.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (04)|Management and support Services - Assets|430813.0|2026 Approved Budget PDF (Page 31)
